sharpe_ratio,max_drawdown,total_trades,won_trades,lost_trades,win_rate,cumulative_return,max_custom_drawdown,final_portfolio_value,sma_long_period,sma_short_period,stop_loss_pct,position_size
-0.35996633145716805,127.52498451474617,1248,308,937,24.679487179487182,-129.384712583763,127.5249845147462,-2938.471258376231,30,10,0.5,0.05
-0.5045263924650842,348.1304564532458,1465,371,1089,25.324232081911262,-1480.5538625116724,348.1304564532458,-138055.38625116335,30,10,0.5,0.1
-0.28337369502497545,190.3853790607116,1402,351,1049,25.035663338088444,-215.20865180764338,190.3853790607116,-11520.865180764304,30,10,0.5,0.2
0.5015839558293235,113.0753557539391,1436,374,1057,26.044568245125348,-107.32845581408716,113.0753557539391,-732.8455814087176,30,10,1.0,0.05
0.07271814646745528,140.50378806922942,1287,332,950,25.796425796425797,-157.75426562282334,140.50378806922942,-5775.4265622823295,30,10,1.0,0.1
0.6868277878610294,215.89006631556015,1250,325,920,26.0,-1045.124140785367,215.89006631556015,-94512.41407853656,30,10,1.0,0.2
-0.4028863075042496,138.5146165204969,1116,294,819,26.344086021505376,-132.0447270260621,138.5146165204969,-3204.472702606854,30,10,1.5,0.05
-0.660625327816429,152.97359546368858,1129,301,823,26.660761736049604,-214.3367208560922,152.9735954636886,-11433.672085609252,30,10,1.5,0.1
-0.08989011300582604,309.63307109211485,1116,306,805,27.419354838709676,-2786.593285787284,309.63307109211485,-268659.32857872685,30,10,1.5,0.2
-0.5819391905173238,171.7395710978901,1138,269,867,23.637961335676625,-124.65147249416657,171.73957109789012,-2465.1472494166446,30,20,0.5,0.05
0.010555000338938851,202.75367066483307,604,134,470,22.185430463576157,-215.55408345501493,202.75367066483307,-11555.408345501532,30,20,0.5,0.1
0.114627147019964,314.4708046059835,672,169,502,25.148809523809522,-310.4843086447699,314.4708046059836,-21048.430864476995,30,20,0.5,0.2
-0.4105116853915361,140.08677772052897,1090,259,828,23.761467889908257,-114.93392779069605,140.08677772052897,-1493.3927790687108,30,20,1.0,0.05
0.12404639458083443,161.5084743430114,1022,234,783,22.89628180039139,-99.93497843003513,161.5084743430114,6.502156996487043,30,20,1.0,0.1
0.7117778887152858,747.903061353832,1012,253,755,25.0,-619.435907321411,747.903061353832,-51943.590732140015,30,20,1.0,0.2
-0.7393628662542013,136.01355802908066,958,239,716,24.947807933194156,-113.28298083859387,136.01355802908063,-1328.2980838593935,30,20,1.5,0.05
-0.4052693780183534,383.0999436604404,589,144,440,24.448217317487266,-495.28830529954814,383.0999436604404,-39528.83052995937,30,20,1.5,0.1
0.32198090393304385,176.43160986486615,249,48,201,19.27710843373494,-189.72284432949706,176.43160986486618,-8972.284432949715,30,20,1.5,0.2
-0.45206361614333995,129.41082962450665,1101,286,812,25.9763851044505,-149.50607754614188,129.41082962450665,-4950.607754614188,50,10,0.5,0.05
0.15353396229004368,171.46209666497998,1337,347,985,25.953627524308153,-96.66277306760837,171.46209666498,333.72269323916106,50,10,0.5,0.1
0.7615387931741765,483.8024161244796,931,250,676,26.852846401718583,-12516.219294440647,483.8024161244796,-1241621.9294440746,50,10,0.5,0.2
-0.4479606670594399,129.2290480723935,1110,311,796,28.01801801801802,-132.60246833689033,129.2290480723935,-3260.2468336890433,50,10,1.0,0.05
0.162354138840279,408.1839197172982,1199,344,850,28.690575479566306,-5319.1823784943745,408.1839197172981,-521918.2378494406,50,10,1.0,0.1
0.5500338912886866,214.15224858970984,807,225,580,27.881040892193308,-1587.9655460691945,214.1522485897098,-148796.5546069176,50,10,1.0,0.2
0.034335921873332724,138.72094199196363,937,270,664,28.8153681963714,-183.0847564048134,138.7209419919636,-8308.47564048133,50,10,1.5,0.05
0.05929841855068278,171.54359698597935,803,231,570,28.767123287671232,-1078.8043849483463,171.54359698597938,-97880.43849483451,50,10,1.5,0.1
0.2629356393877944,622.5372809177665,764,233,526,30.497382198952877,-30683.70214128389,622.5372809177665,-3058370.21412838,50,10,1.5,0.2
0.40708019482439983,121.68931529741121,1094,281,810,25.685557586837295,-110.79810026352108,121.6893152974112,-1079.810026352103,50,20,0.5,0.05
-0.38910367397705564,170.6957860025248,896,241,653,26.89732142857143,-80.4469471977746,170.6957860025248,1955.305280222532,50,20,0.5,0.1
